,cleaned_review,cleaned_review_length,review_score
11652,i do love this product but bought it think had led lights in the ear covers it does not ,19,4.0
7240,this mouse works very well and has very long battery life very happy with this purchase ,16,5.0
16483,just like described very pleased we also had an issue with not getting our first speaker reached out to the company and they were so willing to work with us to get replacement sent out asap would highly recommend this company and product without hesitation ,45,5.0
13353,our year old son asked for this headset for his nintendo switch gaming used it for the first time yesterday when listening to youtube video regarding printing this headset has amazing sound quality and clarity highly recommend this headset the price is on point ,44,5.0
6024,nice looking mouse beautiful colors and comfortable hold for any sized hands the battery on this thing is surprising charging does take time but seriously that won be problem because this thing can last long do suggest turning this off to make sure the battery doesn drain sleep mode is brilliant but do turn it off so you won get caught off guard for when it does lose battery ,69,5.0
15065,this is great bluetooth speaker love jbl and this little speaker did not disappoint ,14,5.0
3879,pretty cool devise easy to install no instructions needed,9,5.0
7267,i like this mouse but the battery literally died in day charging it now see how long that takes say ,20,5.0
15285,this speaker is awesome was bit skeptical about the passive radiators but was impressed it doesn pump bass as much as wired speaker such as echo plus but the sound is still excellent and the battery life is great usually play music off and on during my workweek and charge it once per week gave it stars due to the poor usb implementation the speaker charges through its usb port however it is only able to output power to act like powerbank and charge phone for example through its usb port my recommendation to jbl is to ditch the usb port entirely and use the usb port for charging and power output ,112,5.0
8234,good lighting on the keys for typing in low lighting comfortable typing perfect keyboard size not huge but not tiny either wish there was way to but batteries in it in case the internal rechargeable battery ever goes out it does come with cable for charging overall very good keyboard happy with it so far ,55,5.0
15972,the mid and high range is bit lower than expected however the bass levels help compensate to deliver good sound this is fantastic for the back patio and beach battery life span ha snot been fully tested but in uses has thus far drained my cell phone faster than the speaker the port in back can help charge as well,60,5.0
10432,the wires are flimsy around the audio jack and mic jack to the point that you have to adjust them specific way to get sound to come out of both sides of the headset accidently move the wire and you have to try to readjust it ,46,4.0
11355,we connected correctly would not work after multiple attempts came broken ,11,5.0
10071,hello,1,5.0
2414,i like the ergonomic design of this mouse and so far find it easy and smooth and to use can work on it all day long tiredlessly,27,2.0
1506,it was sleek and nice looking mouse but the usb got annoying and broke easily,15,3.0
5534,okay so cannot answer honestly about the gaming capabilities of this mouse my husband is the gamer can however let you know about my general usage opinion first off it pretty love the color and love that it lights up on the sides there is setting on the back that allows you to turn off the lights to save battery drain ve been using it for days pretty consistently and haven needed to charge it there wasn any software or drivers that needed to be installed in order for it to be used just plugged in the small usb and it immediately worked that all can say at this point since haven had it that long will update this review in few months and include any issues may experience and any new opinions develop ,134,5.0
10416,my headphones arrived faulty and do not connect to my pc properly followed the setup instructions provided watched videos yet nothing helped returning these asap ,25,5.0
3158,i mean this is wireless mouse that has pretty lights and stuff but swear it doesn catch well and have to slide it like pro curler either it dies really fast or it just decides to stop properly working not sure what the true issue is like the texture and how sleek it is but when it doesn properly work it drives me absolutely nuts even got mouse pad and it still gives me issues ,75,5.0
13628,very good for gaming on my pc ,7,5.0
8463,i love this this so pretty battery life has been good only charged once so far in weeks,18,2.0
6848,let face it it just mouse but kinda fun to have the colors since my keyboard is colored too ,19,5.0
