,cleaned_review,cleaned_review_length,review_score
8439,i purchased this for my desk at work it fantastic it was easy to get up and running and it was just wonderful eliminating the cords that were all over my desk great product ,34,5.0
16094,one of the best speakers in the market right now ,10,5.0
1439,it really lives up to the silent clicking making it comfortable in way the batter also seems to last quite few days if you turn it off when it not in use it also has various light patterns when you click the button in the middle the silent clicking is what really gets me ,54,1.0
10510,headset is comfortable sound quality is good chat is little too quiet overall quality is better than expected for the money highly recommend these for casual gamers ,27,2.0
12310,great buy,2,5.0
6883,this wireless mouse works great and is easy to set up the led lights gives it nice look and the click is silent the battery last day haven had to change them over all mouse,35,5.0
1135,this mouse won track straight and learned that if turn off the led lights with the bottom switch it tracks pretty well obviously there bad design here leds are interfering with mouse tracking ve just been turning off the leds to use it ,43,2.0
12879,i bought this for my year old for gaming was shocked at how good the sound quality is and the noise cancelling features also very comfortable to wear for long periods ,31,5.0
8889,very nice keyboard,3,1.0
2169,so easy to set up and works great have had no issues so far it is perfect also because it comes with mac compatible connection port it has made my work sooo much easier it is smooth and easy to use love my new mouse ,45,2.0
12463,very comfortable and the noise cancellation is amazing,8,4.0
824,i needed small mouse for travel it working well it has dpi settings which haven explored yet not crazy about it being rechargeable prefer batteries but the rechargeable battery likely makes it lighter and smaller ,35,5.0
5259,the mouse seemed nice when got it and has great feel in your hand with quiet clicks however after weeks of every other day use the scroll wheel stopped working returned it for replacement and now weeks after receiving the replacement that scroll wheel has also stopped working because the original purchase was outside the return window return was not possible would not buy again and am going with different product from different seller manufacturer ,75,5.0
14391,i use this for when am showering and got it to replace bose bt speaker that is about years old it was no longer holding charge and kept disconnecting from the bt the sound is so good ve taken it around the house with me it came partially charged so fully charged it before used it ve had it for weeks now and haven had to charge it yet the sound quality is incredible the bass is window shaking if you are on the fence get it it supposed to be waterproof too but haven tested it love it ,99,4.0
6009,i have gotten so many compliments on this mouse first off the rose gold color is so beautiful and dainty when first started using fell in love that in changes colors and has the capability to turn off highly recommend great price as well ,44,5.0
947,it states that it has usbc converter but it does not work,12,1.0
1545,it was great until it stopped working won even turn on charged it of course and still doesn work at all time window to return passed really not what you expect from amazon ll be taking steps to get my money back you can bet on that don care how cheap it was ,53,5.0
6172,so my review after using this mouse for months there are lot of glitches that makes the cursor on screen jump from one area to another the mouse stops working in the middle even after making sure it is fully charged you have to turn off the mouse put the mouse on charge for an hour to get the mouse to start working again will not recommend this mouse to anyone couple days later the mouse has completely stopped working and there no customer service response update the mouse is still not working have made three attempts so far to reach out to the company but they don respond the quality of customer service update it been over months since got the replacement even the replacement is horrible it stops responding the action time is delayed when you left click it doesn respond this is even after carefully keep the mouse ,151,5.0
743,works great charges up after about an hour for couple days use great mouse ,14,5.0
4250,it not what expected but it work,7,1.0
14335,sound quality is amazing use it for work loud enough where can hear over the loud equipment and last all day highly recommend this device,25,5.0
12236,i glad got this for my dad he loves it ,10,5.0
7234,i have had this mouse for all of minutes and am planning on returning it honestly it looks nice and like that it rechargable however it easily one of the worst ve ever used ve used probably different models in my career alone first clicking the mouse requires much stronger force than any other mouse ve used and on top of that it very inconsistent looking through the gaps where the leds show out of can see the mechanical device which actuates the click is tiny plastic arm no chance that will lasts for an expected period of time it seemed to have been packaged fine so don believe it was damaged or doa don buy this ,117,5.0
16069,i have flip and this charge ive played both and im little disappointed with the charge my flip has stereo speakers and frankly sounds just as good if not even better then my charge its weird the flip sounds amazing from low volume to almost highest volume where the charge doesn sound as nice at low volume but will keep up at higher levels almost pushing out about the same volume as its smaller sibling flip the only thing consider the charge to have over the flip is it doesn get too distorted at max volume like the flip but the flip just sounds great almost at any level but at max maybe little less bass on the flip too but not by much im beginning to regret my charge purchase wish just went with new flip and see how that works out btw used the charge for hotel room bluetooth soundbar since live in hotels while working each month so good sound means lot to me especially when get noise complaints from the host ,175,5.0
11593,it barely works when you just plug the aux in but when you plug the usb or the mic in it low volume if it works it won output to the right audio setting or something idk ve troubleshooted it for too long giving up ,45,5.0
9370,use this product for pc gaming it is great was expecting issues by now since it was so inexpensive but it holds up well do recommend this keyboard for any gamer that is looking to go wireless and on budget ,40,5.0
2854,mouse completely died and wouldn charge in less than month no return policy,13,5.0
12550,i love theme for everything,5,5.0
13783,great noise canceling headphones ,4,5.0
12806,these are great headphones my year old son loves them the noise canceling is very impressive on them for the price ,21,1.0
919, pros quiet smooth no delays or lagging issues so far pretty colors when not moving the mouse cons seems bit cheap little flatter than like doesn fit naturally to my palm so it makes it uncomfortable the red optical light shines through the other pretty colors when you re moving the mouse want to see the various colors even when moving the mouse not red led light shining through which is overpowering some of the colors shine all throughout and for much longer while others barely show the right side of the mouse right handed doesn emit the colors as vividly as the left side next to my thumb one small section is almost inoperative ll probably be returning it as have bought another mouse that also changes colors and it doesn emit the red led like this one it was super cheap fortunately in case keep it who knows guess you get what you pay for ,157,1.0
17179,i can say enough good things about this speaker after months of heavy use at home and outdoors it still looks and sounds like new it loud enough to use at parties yet small enough to carry around the battery seems to last forever listen to it all day and use it to charge my phone only have to charge my speaker once week ,64,5.0
4967,the wheel button broke as it was simply built with thin plastic rod sent it back hard pass ,18,2.0
2882,product broke after one month of using ,7,1.0
13829,such great headsets my boyfriend loved them ,7,5.0
3428,good mouse for the price and the buttons do not make noise so it feels nice when clicking which is win for me,23,1.0
421,appearance size with built in charging ,6,1.0
15232,does what it claims good sound good battery life ,9,5.0
6586,i love the sleek design of this mouse my favorite aspect though is the quiet clicking the noise is muted and that is an unexpected bonus ,26,1.0
12350,works great loud and clear ,5,5.0
4784,i bought this for work had it maybe couple of weeks and it stopped working couldn get it to hold charge ,21,1.0
5336,this was great value and the wireless mouse works well the colors are fun too just wish it had way to keep it on one color ,26,1.0
1959,another piece of china junk sold through amazon charged until the light went off mouse charged plugged it in and it stopped working minutes later did the same thing second time same result thanks amazon for continuing to peddle garbage products to your customers ,44,5.0
10739,bought for my son for christmas and he loves them they are his favorite color and they shine bright he can really hear his friends well when he uses them ,30,5.0
13166,can barely hear myself talk with them on huge plus ,10,1.0
3371,i purchased the same mouse that my granddaughter enjoys it works smoothly and is pleasure to use it will provide ease and more enjoyable computer experience ,26,1.0
16522,all good,2,5.0
10173,my grandson was so excited to use them with his playstation ,11,1.0
8613,update days later and the receiver has started to experience an internal fault it is loosing connection with my pc and acting as if removed the receiver from the usb port windows is even playing disconnected chime moving to new port does not fix the problem it uses windows drivers so there no update it seems to have started about week after the last version update am running windows version maybe it needs firmware update also if you go to the website listed for support in the us they don have any electronics on the site only outdoor gear confusing plus it not support they are only open mst pros will start by saying that appreciate that the charging port is type that makes it easier to charge given that most pc electronics are going that way the battery lasts about week between charges for me with about hours of use per day it also lot more responsive than my old wireless logi ch keyboard like noticed difference in rocket league immediately backlight is ok have it set to solid and med bright cons it not true rgb backlight there are only options for color on the lighting wave or solid on it just different color leds in the backlight the keyboard layout is also different from my old keyboard the enter key is tall instead of double key width so when type end up hitting the key instead of enter and when you re in game short on time you don need missed keys if you want an rgb keyboard this is not the one you want if you want responsive wireless keyboard with multicolor backlight this might be the one for you ,284,1.0
15590,lacks full sounding bass,4,5.0
2593,this broke after weeks poorly put together ,7,5.0
14156,it didn fit the controller,5,5.0
12831,it also super comfortable play for hours day and dont ever take it off because forget have it on ,19,4.0
11972,great quality headset like the sound quality great for the price ,11,5.0
4587,sensitive mouse maybe because it new works fine,8,1.0
11701,it an amazing way to communicate on game,8,5.0
12334,great product,2,4.0
7493,this mouse is perfect companion for my microsoft surfacepro use this mouse for casual browsing as well as digital artwork and photo editing the mouse feels nice and works well especially for the price also love the option to have the rgb color mode on or off during use perfect little mouse for everyday use ,55,1.0
3576,very cool design thanks,4,1.0
963,does not last x,4,4.0
12883,the headphones are great the sound quality is good and my son says they are comfortable very satisfied so far ,20,5.0
17047,good for party s,4,3.0
11677,bass is good the cord is long comfortable for most people and its pretty solid for gaming it pretty awesome especially for about twenty bucks worth try ,27,1.0
9765,after months of use keys p n have died did not spill any water onto it and was used somewhat frequently for programming guess that is expected due to the cheap price point but was hoping it lasted at least bit longer ,42,5.0
11338,no problem,2,1.0
2619,sleek looking with lights but scroller on one did not work ,11,3.0
2490,it is quiet and works well am very happy with the purchase ,12,1.0
1165,wanted to match my keyboard and not spend too much money this little number is priced just right and the size and shape make it easy to use ,28,1.0
5514,sleep mode turns on too fast for me however really enjoy the mouse overall just use for work travel not gaming ,21,4.0
6077,this mouse is amazing it is ergonomic cheap and functional defenitly great choice for business for games don have an opinion cause don play computer games ,26,2.0
3524,this mouse does seem to let you pick color and the same is not comfortable ,15,5.0
1503,the charge does not last full day,7,1.0
4434,i got this less and two months ago and loved it until today when it broke when touched the wheel ,20,2.0
6742,rechargeable beautiful features long lasting hours for use on off switch ,11,5.0
15164,this came so safely packaged so it wouldn break recommend getting this good sound connects easily and the battery lasts long good for listening loud music ,26,5.0
17240,i like too much loved,5,5.0
10680,this is probably the single most frustrating headset have ever dealt with the mm jack fits loosely in dell workstation it is not wired correctly does not work in combo headset mic jack on the same workstation the usb connection is purely to power the leds ended up replacing with cheaper headset from reputable manufacturer and all of the issues ceased ,61,1.0
49,i purchased this mouse back in june of this year it is now october the battery life is soo powerful the color changing is the best experience could have ha with mouse can believe how happy am with this purchase ,40,5.0
9084,liked the keyboard but as have large hands was not good fit for me ,14,1.0
1431,this is made with low quality the adapter for usb doesn work as in it doesn even fit into usb port tried multiple to make sure this was the common denominator the mouse comes apart too easily the battery life is poor do not waste your money buying ,48,5.0
12725,this product is actually really nice for the price nice sound quality and the noise cancellation is great also mine arrived with headphone jack splitter for pc which claims isnt included maybe that was typo who knows ,37,5.0
104,love the color love how it changes colors and love how it holds charge ,14,5.0
2476,its worth the price really good quality easy to install very smooth and works perfect highly recommend it ,18,4.0
9968,my year old didn care for them mic was to short sound quality was subpar,15,5.0
8720,sleep mode turns off the keyboard after minute and when it dark it gets to be annoying wish it was adjustable but it not minutes would be better other than that it works great ,34,4.0
1405,it goes on sleep more by it self so the battery last long ,13,1.0
7528,i love this mouse works and looks great for the price very comfortable and smooth operation the charging cable that came with it didn work though but had another one so no biggie ,33,1.0
16009,this portable bluetooth speaker is really great for outdoors very loud and great sound quality you can charge your phone from it the bluetooth connection has wide range would definitely buy again ,32,1.0
15636,this speaker doesn have built in microphone so you cannot pair it with phone this is pants on head retarded ,20,5.0
16864,sund good,2,5.0
760,fits my hand perfectly ,4,1.0
9379,so far have been satisfied with the keyboard and would recommend it to others the one issue is the special cord to recharge the keyboard and the ability to match the lighting to my laptop do understand the limits on the battery life that prevent the keyboard from staying active all the time but would like to be able to dim the keyboard when inactive but with the light still bright enough or at least marker key to engage the lights to make it easier to see in the dark it may be little nit picky but the purpose of the lights is to allow me to see and enjoy the back lights while playing and not have to stop and turn on light just to re orient my self to the keys while trying to immerse myself in game ,140,5.0
10471,great sound and mic quality have of them only consistant issue on all were the mute switch either didn work or stopped working ,23,5.0
16132,meh it speaker it mono speaker and not an overly good one for bass for loudness think for should be getting something bit awesome had an anker speaker that is similar in regards to output,35,5.0
9048,constantly lags or just stops working while trying to type even when the battery is full ,16,5.0
5034,have no problems works just fine ,6,5.0
8058,pros matte feel slim profile quiet clickcons instructions were in another language so there wasn any information on how to set up guessed came with scratch on it track wheel does not work ,33,1.0
5749,the battery doesn even last one day pretty much have to keep it plugged in at all times and have the light setting turned off it looks like nice mouse and the wheel and clicking is fine but what the point if it never charged don waste your money on this mouse ,52,5.0
12018,it is overall descent headset it can get annoying that the mic isn curved or more movable than just up and down give it ,24,5.0
7647,didn work sending back,4,3.0
6224,slim and ergonomic mouse cool led lights while using it ,10,1.0
897,very fragile when dropped ,4,5.0
12178,kids like the sound and they last quality good ,9,3.0
11501,awesome headset very sleek style and the noise canceling is amazing ,11,5.0
13339,great sound clear voice,4,5.0
1041,perfect,1,1.0
8394,i started using this keyboard and it was perfect until hit the spacebar the spacebar makes rattling noise when you even touch it at all you don even have to press it down it unavoidable to make this sound no matter how gingerly you press the key unless this was single unit problem this design is garbage as silent keyboard ,60,1.0
13763,very well made headset and crisp game volume ,8,5.0
8731,the keypad tends to leave off some letters after prolonged use had to keep retyping some letters and in some cases it actually doubled up on the letters the charge doesn last long either all in all am somewhat satisfied with it but believe it has few inherent flaws ,49,3.0
13147,i have purchased several of these headsets over the years they are great quality and sound amazing they even withstand teenage boys highly recommend ,24,4.0
11470,it cool guess,3,1.0
9044,this keyboard looks and feels really nice it nice and quiet and like the rainbow color display don game much so can really opine on its quality there but imagine the feel and reach of it is nice for those that do although that big enter button might throw you off little bit if you re not used to the layout kept hitting the insert key instead of the backspace from time to time have screen display two are daisy chained monitors using displayport and one is tv using hdmi noticed that in its regular position on my desk it seemed to type fine on screen have somewhat delayed buggy input on screen and perhaps due to the distance between the dongle and the tv no response on there moved the dongle to the keyboard to the top of my tower instead of the back side but it still didn accept any input from my keyboard when wasn even feet away from my computer to me that on top of not seeming to properly respond to my other screens is large drawback for wireless keyboard especially when paid for it had cheaper logitech that worked just fine for about feet and only got this one because it died three years later to the day and that model seems to be discontinued want to like this because it works great when it wants to but the problems ve had just in the first week aren worth what paid for it almost never return anything but think gonna have to with this ,260,5.0
8467,good enough keyboard really regret getting it though as have to charge it every week so it would have been better for me to have just gotten wired keyboard or one that takes batteries ,34,5.0
15489,great speaker feel like it was worth the money,9,5.0
13837,great headphones at great price sounds good the noise cancelation is okay and plugs right in to my ps ,19,5.0
9237,great value for the money for an illuminated wireless keyboard very responsive ,12,1.0
5105,this mouse worked ok for couple of months then it just won work anymore tried charging it and it just doesn do it waste of money ,26,1.0
7494,battery life is so short it might as well be wired mouse it charges with as usb cable dropped once and had to be glued back together ,27,5.0
10544,i bought these for my brother he loves this headset ,10,5.0
10358,i can hear but the mic has never worked even after much troubleshooting they re also pretty uncomfortable compared to other headphones ve had ,24,5.0
13525,headset is great would recommend,5,4.0
9663,it would be better if you had setting that made the lights stay on all the time,17,5.0
689,skip it,2,5.0
16505,love the sound and the portability of this speaker would buy again ,12,5.0
11351,i happy with this purchase love the look of the headphones and enjoy the lights even though can really see them myself enjoy the fact that they are there and that people that walk into the room can see them the headphones work great nice sound quality good purchase ,49,4.0
12168,work perfect for gaming and lights are nice bonus ,9,5.0
